,Make,Model,Registration,Location,Transmission,Seats,Fuel_Type,Fuel_Eco,Insurance_Group,CO2,Milage,Year,Price(£),Price_diff,Price on New(£),Price per month,APR,Reserved,URL
905,Peugeot,2008 1.2 PureTech 82 Active,YF68AZT,Castle Donnington,Manual,5,Petrol,43,13E,114,13167,2018,12799,3966.0,16765.0,257.24,7.9,False,https://www.availablecar.com/used-cars/peugeot-2008-54943
906,Citroen,C4 Cactus 1.2 PureTech 82 Feel Edition,LC18XPL,Castle Donnington,Manual,5,Petrol,60,11E,108,26840,2018,12799,4271.0,17070.0,257.24,7.9,False,https://www.availablecar.com/used-cars/citroen-c4-cactus-53788
907,Ford,Fiesta 1.1 Zetec,NJ68XCK,Cannock,Manual,5,Petrol,48,5E,114,8893,2018,12799,2846.0,15645.0,257.24,7.9,False,https://www.availablecar.com/used-cars/ford-fiesta-53613
908,Bmw,1 118i 1.5 Sport 5dr,VK16JZN,Leeds,Manual,5,Petrol,53,18E,123,52622,2016,12799,8921.0,21720.0,257.24,7.9,False,https://www.availablecar.com/used-cars/bmw-1-series-53076
909,Ford,Focus 1.5 TDCi 120 ST-Line Nav 5dr App Pack,AF66BYB,Cannock,Manual,5,Diesel,74,16E,99,45206,2016,12799,8441.0,21240.0,257.24,7.9,False,https://www.availablecar.com/used-cars/ford-focus-51796
910,Ford,Fiesta 1.0 E/B 100 Titanium,BU68YVJ,Sutton in Ashfield,Manual,5,Petrol,58,10E,110,39830,2018,12799,4816.0,17615.0,257.24,7.9,True,https://www.availablecar.com/used-cars/ford-fiesta-51141
911,Vauxhall,Astra 1.4T 150 SRi VX-Line,DT17BJU,Castle Donnington,Manual,5,Petrol,51,16E,128,28694,2017,12799,8321.0,21120.0,257.24,7.9,False,https://www.availablecar.com/used-cars/vauxhall-astra-51078
912,Renault,Captur 0.9 TCE 90 Dynamique Nav 5dr,KGZ2077,Sutton in Ashfield,Manual,5,Petrol,55,9E,114,1344220,2018,12799,3891.0,16690.0,257.24,7.9,False,https://www.availablecar.com/used-cars/renault-captur-49551
913,Volkswagen,Polo 1.2 TSI 90 Match Edition 5dr,EA67MRV,Cannock,Manual,5,Petrol,60,15E,109,32707,2017,12799,2486.0,15285.0,257.24,7.9,False,https://www.availablecar.com/used-cars/volkswagen-polo-46884
914,Ford,Ecosport 1.0 E/B 125 Titanium 5dr 2WD 17in,BD67KUB,Leeds,Manual,5,Petrol,53,,125,15346,2017,12799,3116.0,15915.0,257.24,7.9,False,https://www.availablecar.com/used-cars/ford-ecosport-36932
