,Make,Model,Registration,Location,Transmission,Seats,Fuel_Type,Fuel_Eco,Insurance_Group,CO2,Milage,Year,Price(£),Price_diff,Price on New(£),Price per month,APR,Reserved,URL
0,CHEVROLET,SPARK LS,BP63NXZ,Cannock,Manual,5,Petrol,55,4E,119,17824,2014,4499,4721.0,9220.0,94.44,9.9,False,https://www.availablecar.com/used-cars/chevrolet-spark-60095
1,Toyota,Aygo 1.0 VVT-i Move,AF64HZA,Sutton in Ashfield,Manual,4,Petrol,65,3E,99,51658,2014,5099,5466.0,10565.0,107.03,9.9,False,https://www.availablecar.com/used-cars/toyota-aygo-59053
2,Skoda,Citigo 1.0 60 SE,YB64HVT,Sutton in Ashfield,Manual,4,Petrol,62,1E,105,48599,2014,5099,3906.0,9005.0,107.03,9.9,False,https://www.availablecar.com/used-cars/skoda-citigo-57541
3,Fiat,Panda 1.2 Pop,NA64YJC,Castle Donnington,Manual,4,Petrol,54,4U,120,25250,2014,5499,3541.0,9040.0,115.43,9.9,False,https://www.availablecar.com/used-cars/fiat-panda-62890
4,Fiat,500 1.2 Colour Therapy,MT15KZY,Leeds,Manual,4,Petrol,58,7U,113,39838,2015,5999,5166.0,11165.0,125.92,9.9,False,https://www.availablecar.com/used-cars/fiat-500-62876
5,Citroen,C1 1.0 VTi Feel,YK16YVD,Leeds,Manual,4,Petrol,68,6E,95,40316,2016,6099,3541.0,9640.0,128.02,9.9,False,https://www.availablecar.com/used-cars/citroen-c1-55303
6,Vauxhall,Corsa 1.2 85 Sting,PJ63HUH,Sutton in Ashfield,Manual,5,Petrol,51,6E,129,36706,2013,6099,3186.0,9285.0,128.02,9.9,True,https://www.availablecar.com/used-cars/vauxhall-corsa-53075
7,Ford,Fiesta 1.25 Zetec,ND14CSO,Sutton in Ashfield,Manual,5,Petrol,54,7E,120,62452,2014,6199,6641.0,12840.0,130.12,9.9,False,https://www.availablecar.com/used-cars/ford-fiesta-62320
8,Fiat,500 1.2 S 3dr,WM64VJC,Sutton in Ashfield,Manual,4,Petrol,58,9U,113,42844,2014,6199,5616.0,11815.0,130.12,9.9,True,https://www.availablecar.com/used-cars/fiat-500-50117
9,Suzuki,Swift 1.2 SZ3,BL14DVB,Leeds,Manual,4,Petrol,56,11E,116,41762,2014,6299,5765.0,12064.0,132.22,9.9,False,https://www.availablecar.com/used-cars/suzuki-swift-61673
10,Skoda,Fabia 1.2 TDI 75 GreenLine II,ND64XRL,Cannock,Manual,5,Diesel,83,9E,88,45547,2015,6299,7921.0,14220.0,132.22,9.9,True,https://www.availablecar.com/used-cars/skoda-fabia-15140
11,Toyota,Aygo 1.0 VVT-i X,YE66EUN,Cannock,Manual,4,Petrol,68,6E,95,47254,2016,6399,3041.0,9440.0,134.32,9.9,False,https://www.availablecar.com/used-cars/toyota-aygo-54990
12,Citroen,C1 1.0 VTi Flair,DY64YLA,Cannock,Manual,4,Petrol,68,7E,95,39368,2014,6399,3731.0,10130.0,134.32,9.9,True,https://www.availablecar.com/used-cars/citroen-c1-48965
13,Vauxhall,Corsa 1.2 85 Limited Edition,VO14UHB,Castle Donnington,Manual,5,Petrol,51,7E,129,43946,2014,6399,8196.0,14595.0,134.32,9.9,False,https://www.availablecar.com/used-cars/vauxhall-corsa-37019
14,Fiat,500 0.9 TwinAir Colour Therapy,MK15OAV,Leeds,Manual,4,Petrol,70,10U,92,34247,2015,6399,5966.0,12365.0,134.32,9.9,False,https://www.availablecar.com/used-cars/fiat-500-26544
15,Toyota,Auris Touring 1.4 D4-D Active,BN15EJL,Cannock,Manual,5,Diesel,67,11E,109,65703,2015,6499,10841.0,17340.0,136.42,9.9,True,https://www.availablecar.com/used-cars/toyota-auris-59296
16,Volkswagen,Up 1.0 60 Take Up,VE64YWS,Castle Donnington,Manual,4,Petrol,62,1E,105,15239,2014,6499,2081.0,8580.0,136.42,9.9,False,https://www.availablecar.com/used-cars/volkswagen-up-46651
17,Vauxhall,Corsa 1.2 70 Sting,CE15WYX,Sutton in Ashfield,Manual,5,Petrol,53,2E,124,42746,2015,6599,2341.0,8940.0,138.52,9.9,False,https://www.availablecar.com/used-cars/vauxhall-corsa-63676
18,Vauxhall,Corsa 1.2 70 Sting,NG15KOA,Leeds,Manual,5,Petrol,53,2E,124,31715,2015,6599,2341.0,8940.0,138.52,9.9,False,https://www.availablecar.com/used-cars/vauxhall-corsa-55786
19,Fiat,500 1.2 Pop,CE16XZH,Castle Donnington,Manual,4,Petrol,60,7U,110,41046,2016,6599,4236.0,10835.0,138.52,9.9,False,https://www.availablecar.com/used-cars/fiat-500-55755
20,Fiat,Panda 1.2 Pop,SE16ERY,Cannock,Manual,4,Petrol,54,3U,119,15474,2016,6599,2721.0,9320.0,138.52,9.9,False,https://www.availablecar.com/used-cars/fiat-panda-54896
21,Renault,Twingo 1.0 SCE Play,SD15XPM,Castle Donnington,Manual,4,Petrol,62,3E,105,15385,2015,6699,3241.0,9940.0,140.62,9.9,True,https://www.availablecar.com/used-cars/renault-twingo-36181
22,Citroen,C3 1.0 Puretech 68 VTR+,PE65HZF,Cannock,Manual,5,Petrol,62,9E,104,29979,2015,6799,5641.0,12440.0,142.72,9.9,False,https://www.availablecar.com/used-cars/citroen-c3-63650
23,Peugeot,108 1.0 Active,BV65OZH,Cannock,Manual,4,Petrol,68,6E,95,34916,2015,6799,3141.0,9940.0,142.72,9.9,False,https://www.availablecar.com/used-cars/peugeot-108-58389
24,Fiat,500 1.2 Colour Therapy,EU15WGF,Leeds,Manual,4,Petrol,58,7U,111,22371,2015,6799,4366.0,11165.0,142.72,9.9,True,https://www.availablecar.com/used-cars/fiat-500-39263
25,Seat,Mii 1.0 by Mango,CV16CGF,Leeds,Manual,4,Petrol,61,4E,106,38545,2016,6899,4311.0,11210.0,144.82,9.9,False,https://www.availablecar.com/used-cars/seat-mii-8723
26,Renault,Twingo 1.0 SCE Iconic,LX16HFT,Cannock,Manual,4,Petrol,67,3E,95,28093,2016,6899,4891.0,11790.0,144.82,9.9,False,https://www.availablecar.com/used-cars/renault-twingo-58940
27,Peugeot,108 1.0 Active,GJ66PBU,Leeds,Manual,4,Petrol,68,6E,95,22566,2016,6899,3131.0,10030.0,144.82,9.9,False,https://www.availablecar.com/used-cars/peugeot-108-57252
28,Volkswagen,Up 1.0 60 Move Up 5dr Winter Pack Sensors,GM14WRE,Cannock,Manual,4,Petrol,68,1E,95,26981,2014,6899,2881.0,9780.0,144.82,9.9,False,https://www.availablecar.com/used-cars/volkswagen-up-53914
29,Citroen,C1 1.0 VTi Feel,PN65LDY,Castle Donnington,Manual,4,Petrol,68,6E,95,27031,2015,6899,3041.0,9940.0,144.82,9.9,False,https://www.availablecar.com/used-cars/citroen-c1-52894
30,Fiat,500 0.9 TwinAir Lounge,LR15OXK,Leeds,Manual,4,Petrol,67,15U,99,25998,2015,6899,6746.0,13645.0,144.82,9.9,False,https://www.availablecar.com/used-cars/fiat-500-28979
31,Seat,Mii 1.0 75 Mii by Mango,GX16WNU,Sutton in Ashfield,Manual,4,Petrol,61,4E,106,60179,2016,6999,4566.0,11565.0,146.91,9.9,False,https://www.availablecar.com/used-cars/seat-mii-63213
32,Volkswagen,Up 1.0 Rock Up,EY14YRA,Castle Donnington,Manual,4,Petrol,,4E,108,45003,2014,6999,6026.0,13025.0,146.91,9.9,False,https://www.availablecar.com/used-cars/volkswagen-up-63021
33,Peugeot,108 1.0 Active,YK66AWE,Cannock,Manual,4,Petrol,68,6E,95,19468,2017,6999,3251.0,10250.0,146.91,9.9,False,https://www.availablecar.com/used-cars/peugeot-108-61324
34,Peugeot,208 1.2 VTi Allure,LY64GUJ,Castle Donnington,Manual,5,Petrol,62,8E,104,27428,2014,6999,7441.0,14440.0,146.91,9.9,True,https://www.availablecar.com/used-cars/peugeot-208-61298
35,Skoda,Fabia 1.2 70 SE,YH13SPU,Leeds,Manual,5,Petrol,53,5E,128,4739,2013,6999,4416.0,11415.0,146.91,9.9,True,https://www.availablecar.com/used-cars/skoda-fabia-61035
36,Fiat,500 1.2 S,SD15VVY,Leeds,Manual,4,Petrol,60,9U,111,25569,2015,7099,4816.0,11915.0,149.01,9.9,False,https://www.availablecar.com/used-cars/fiat-500-54939
37,Fiat,500 0.9 TwinAir Lounge,BF65AXA,Cannock,Manual,4,Petrol,67,15U,99,29673,2015,7099,7066.0,14165.0,149.01,9.9,False,https://www.availablecar.com/used-cars/fiat-500-53574
38,Citroen,C3 Picasso 1.6 HDi 90 Selection,CV64JYD,Cannock,Manual,5,Diesel,68,32A,107,47520,2014,7099,9626.0,16725.0,149.01,9.9,False,https://www.availablecar.com/used-cars/citroen-c3-picasso-51460
39,Vauxhall,Adam 1.4 90 Jam 3dr Urban Pack 16in,MA64XEV,Leeds,Manual,4,Petrol,53,6E,125,39697,2014,7099,4626.0,11725.0,149.01,9.9,False,https://www.availablecar.com/used-cars/vauxhall-adam-30031
40,Volkswagen,Up 1.0 60 Move Up 5dr,WG65MXA,Cannock,Manual,4,Petrol,68,1E,95,31760,2015,7099,3211.0,10310.0,149.01,9.9,False,https://www.availablecar.com/used-cars/volkswagen-up-2928
41,Peugeot,108 1.0 Active,CN16NHP,Sutton in Ashfield,Manual,4,Petrol,68,6E,95,28372,2016,7199,2841.0,10040.0,151.11,9.9,False,https://www.availablecar.com/used-cars/peugeot-108-59551
42,Smart,Fortwo Coupe 1.0 Passion,WD65EZU,Leeds,Manual,2,Petrol,68,3E,93,26456,2016,7199,3871.0,11070.0,151.11,9.9,False,https://www.availablecar.com/used-cars/smart-fortwo-28601
43,Nissan,Micra 1.2 Visia,PL16LCK,Sutton in Ashfield,Manual,5,Petrol,56,6E,115,12528,2016,7299,2286.0,9585.0,153.21,9.9,False,https://www.availablecar.com/used-cars/nissan-micra-63665
44,Vauxhall,Corsa 1.4 75 Limited Edition,WF16YJP,Castle Donnington,Manual,5,Petrol,54,3E,120,57276,2016,7299,7161.0,14460.0,153.21,9.9,False,https://www.availablecar.com/used-cars/vauxhall-corsa-62314
45,Vauxhall,Corsa 1.2 85 SE,BJ14ZZP,Cannock,Manual,5,Petrol,51,6E,129,20992,2014,7299,7681.0,14980.0,153.21,9.9,False,https://www.availablecar.com/used-cars/vauxhall-corsa-55045
46,Vauxhall,Corsa 1.4T 100 SRi,BU15FXA,Leeds,Manual,5,Petrol,55,10E,119,56139,2015,7399,5141.0,12540.0,155.31,9.9,False,https://www.availablecar.com/used-cars/vauxhall-corsa-58528
47,Toyota,Aygo 1.0 VVT-i X-Play 5dr X-Nav,NA15WFN,Leeds,Manual,4,Petrol,68,7E,95,19946,2015,7399,2115.0,9514.0,155.31,9.9,True,https://www.availablecar.com/used-cars/toyota-aygo-51992
48,Volkswagen,Up 1.0 60 Move Up,WO64FCC,Sutton in Ashfield,Manual,4,Petrol,62,1E,105,28311,2015,7399,2731.0,10130.0,155.31,9.9,False,https://www.availablecar.com/used-cars/volkswagen-up-38762
49,Vauxhall,Viva 1.0 SE,YR67CMZ,Sutton in Ashfield,Manual,5,Petrol,61,4E,104,22665,2017,7399,2666.0,10065.0,155.31,9.9,False,https://www.availablecar.com/used-cars/vauxhall-viva-19759
50,Volkswagen,Up 1.0 60 Take Up,BT67YDK,Sutton in Ashfield,Manual,4,Petrol,68,1E,96,20987,2017,7399,1541.0,8940.0,155.31,9.9,False,https://www.availablecar.com/used-cars/volkswagen-up-17947
51,Peugeot,208 1.0 PureTech 68 Access,MF65ESU,Castle Donnington,Manual,5,Petrol,64,7E,102,17643,2015,7499,4141.0,11640.0,157.41,9.9,False,https://www.availablecar.com/used-cars/peugeot-208-63598
52,Ford,Fiesta 1.25 Zetec,FP15UPB,Sutton in Ashfield,Manual,5,Petrol,54,7E,122,41745,2015,7499,5541.0,13040.0,157.41,9.9,False,https://www.availablecar.com/used-cars/ford-fiesta-61318
53,Ford,Focus 1.6 TDCi Zetec,NX14VZK,Castle Donnington,Manual,5,Diesel,67,15E,109,36993,2014,7499,11141.0,18640.0,157.41,9.9,True,https://www.availablecar.com/used-cars/ford-focus-61006
54,Renault,Megane 1.5 dCi 110 Dynamique Nav,BA15FHD,Castle Donnington,Manual,5,Diesel,78,18E,93,43256,2015,7499,11691.0,19190.0,157.41,9.9,False,https://www.availablecar.com/used-cars/renault-megane-59837
55,Peugeot,108 1.2 VTi Allure,FH15KXJ,Leeds,Manual,4,Petrol,65,11E,99,9536,2015,7499,3541.0,11040.0,157.41,9.9,False,https://www.availablecar.com/used-cars/peugeot-108-50386
56,Fiat,500C 1.2 Lounge,AF11DAV,Leeds,Manual,4,Petrol,58,10U,113,22339,2014,7499,7046.0,14545.0,157.41,9.9,False,https://www.availablecar.com/used-cars/fiat-500c-33776
57,Fiat,Panda 1.2 Pop,CX68FGN,Castle Donnington,Manual,4,Petrol,44,3U,131,8954,2018,7599,1741.0,9340.0,159.51,9.9,False,https://www.availablecar.com/used-cars/fiat-panda-9122
58,Vauxhall,Adam 1.2 Glam 3dr 17in,YG65JZJ,Leeds,Manual,4,Petrol,53,3E,125,36156,2015,7599,5346.0,12945.0,159.51,9.9,False,https://www.availablecar.com/used-cars/vauxhall-adam-62875
59,Kia,Picanto 1.0 SR7,DG16OCF,Leeds,Manual,5,Petrol,62,2D,105,11605,2016,7599,,,159.51,9.9,False,https://www.availablecar.com/used-cars/kia-picanto-56136
60,Citroen,C1 1.2 PureTech Flair,BP16NHD,Sutton in Ashfield,Manual,4,Petrol,65,11E,99,24597,2016,7599,3091.0,10690.0,159.51,9.9,False,https://www.availablecar.com/used-cars/citroen-c1-55239
61,Vauxhall,Adam 1.2 Jam 3dr Urban Pack Technical,KY65XEW,Cannock,Manual,4,Petrol,53,3E,125,36258,2015,7599,3976.0,11575.0,159.51,9.9,False,https://www.availablecar.com/used-cars/vauxhall-adam-54989
62,Hyundai,I10 1.0 SE,YR65RXF,Sutton in Ashfield,Manual,4,Petrol,65,1A,98,18366,2015,7599,2571.0,10170.0,159.51,9.9,False,https://www.availablecar.com/used-cars/hyundai-i10-54621
63,Fiat,500 1.2 Lounge,YG16EZN,Leeds,Manual,4,Petrol,60,8U,110,39082,2016,7599,4986.0,12585.0,159.51,9.9,False,https://www.availablecar.com/used-cars/fiat-500-53057
64,Citroen,C3 Picasso 1.6 BlueHDi 100 Selection,FJ65ZKA,Sutton in Ashfield,Manual,5,Diesel,72,16E,101,45595,2015,7599,9516.0,17115.0,159.51,9.9,False,https://www.availablecar.com/used-cars/citroen-c3-picasso-53049
65,Citroen,C1 1.2 PureTech Feel,BD16AAK,Leeds,Manual,4,Petrol,65,11E,99,20932,2016,7599,2366.0,9965.0,159.51,9.9,False,https://www.availablecar.com/used-cars/citroen-c1-51604
66,Vauxhall,Adam 1.2 Jam,MW65LWU,Leeds,Manual,4,Petrol,53,3E,125,20219,2015,7599,,,159.51,9.9,False,https://www.availablecar.com/used-cars/vauxhall-adam-35120
67,Vauxhall,Viva 1.0 SE,YE18DJF,Leeds,Manual,5,Petrol,61,4E,104,26786,2018,7599,2751.0,10350.0,159.51,9.9,False,https://www.availablecar.com/used-cars/vauxhall-viva-30997
68,Vauxhall,Viva 1.0 SE,BK67KVY,Castle Donnington,Manual,5,Petrol,61,4E,104,19365,2017,7599,2466.0,10065.0,159.51,9.9,False,https://www.availablecar.com/used-cars/vauxhall-viva-19317
69,Volkswagen,Up 1.0 75 High Up,LD14JYX,Sutton in Ashfield,Manual,4,Petrol,60,2E,108,24383,2014,7699,,,161.61,9.9,False,https://www.availablecar.com/used-cars/volkswagen-up-59052
70,Toyota,Aygo 1.0 VVT-i X-Play,WF16TMO,Sutton in Ashfield,Manual,4,Petrol,68,7E,95,9442,2016,7799,2641.0,10440.0,163.71,9.9,False,https://www.availablecar.com/used-cars/toyota-aygo-34464
71,Fiat,500 0.9 TwinAir Lounge,CX16CDE,Sutton in Ashfield,Manual,4,Petrol,74,11U,90,33994,2016,7799,6086.0,13885.0,163.71,9.9,False,https://www.availablecar.com/used-cars/fiat-500-27831
72,Citroen,C1 1.2 PureTech Feel,RJ17ZWT,Cannock,Manual,4,Petrol,65,11E,99,18980,2017,7899,3171.0,11070.0,165.81,9.9,False,https://www.availablecar.com/used-cars/citroen-c1-61661
73,Vauxhall,Adam 1.2 Glam 3dr 17in Roulette Alloys Extreme Carbon,SD14UFE,Leeds,Manual,4,Petrol,53,3E,124,16617,2014,7899,4846.0,12745.0,165.81,9.9,False,https://www.availablecar.com/used-cars/vauxhall-adam-55310
74,Fiat,500C 1.2 Lounge 2dr 16in,YD65YCS,Castle Donnington,Manual,4,Petrol,60,10U,110,36708,2015,7899,7136.0,15035.0,165.81,9.9,False,https://www.availablecar.com/used-cars/fiat-500c-54653
75,Citroen,C1 1.0 VTi Feel,KU68XSO,Castle Donnington,Manual,4,Petrol,57,8E,93,23954,2018,7899,2956.0,10855.0,165.81,9.9,False,https://www.availablecar.com/used-cars/citroen-c1-54273
76,Fiat,500 1.2 Lounge,WR16EHZ,Leeds,Manual,4,Petrol,60,8U,110,28298,2016,7899,4686.0,12585.0,165.81,9.9,False,https://www.availablecar.com/used-cars/fiat-500-41958
77,Citroen,C1 1.2 PureTech Feel,YC66FRL,Leeds,Manual,4,Petrol,65,11E,99,15868,2016,7899,2951.0,10850.0,165.81,9.9,False,https://www.availablecar.com/used-cars/citroen-c1-34509
78,Skoda,Citigo 1.0 75 Green Tech SE L 5dr,GH16MDN,Leeds,Manual,4,Petrol,67,4E,98,27870,2016,7899,2861.0,10760.0,165.81,9.9,False,https://www.availablecar.com/used-cars/skoda-citigo-29601
79,Renault,Clio 1.5 dCi 90 Dynamique MediaNav,SH65UKS,Cannock,Manual,5,Diesel,83,,90,37369,2015,7999,7921.0,15920.0,167.91,9.9,False,https://www.availablecar.com/used-cars/renault-clio-63661
80,Peugeot,108 1.0 Active,DE68OBV,Castle Donnington,Manual,4,Petrol,57,8E,93,36677,2018,7999,3186.0,11185.0,167.91,9.9,False,https://www.availablecar.com/used-cars/peugeot-108-63652
81,Fiat,500 0.9 TwinAir S 2dr,CV64XKT,Castle Donnington,Automatic,4,Petrol,72,15U,90,44855,2014,7999,7626.0,15625.0,167.91,9.9,False,https://www.availablecar.com/used-cars/fiat-500c-63297
82,Ford,Fiesta 1.0 E/B 125 Titanium,GK64PXV,Castle Donnington,Manual,5,Petrol,65,15E,99,45501,2014,7999,7991.0,15990.0,167.91,9.9,False,https://www.availablecar.com/used-cars/ford-fiesta-63020
83,Fiat,Panda 0.9 TwinAir 85 Lounge,MT17CKG,Leeds,Manual,4,Petrol,67,7U,99,32104,2017,7999,3691.0,11690.0,167.91,9.9,False,https://www.availablecar.com/used-cars/fiat-panda-61674
84,Fiat,500 1.2 Lounge,AJ66HXV,Cannock,Manual,4,Petrol,60,8U,110,22741,2016,7999,4746.0,12745.0,167.91,9.9,False,https://www.availablecar.com/used-cars/fiat-500-61320
85,Peugeot,208 1.4 HDi Style,FM64KVC,Sutton in Ashfield,Manual,5,Diesel,74,15E,98,7933,2015,7999,6891.0,14890.0,167.91,9.9,False,https://www.availablecar.com/used-cars/peugeot-208-59888
86,DS,DS3 1.6 BlueHDi DStyle Nav,FM15UCS,Sutton in Ashfield,Manual,5,Diesel,83,22D,87,35028,2015,7999,9541.0,17540.0,167.91,9.9,False,https://www.availablecar.com/used-cars/ds-automobiles-ds-3-59870
87,Mazda,Mazda2 1.5 75 SE,LL65UXC,Sutton in Ashfield,Manual,5,Petrol,60,13E,110,38912,2016,7999,3941.0,11940.0,167.91,9.9,False,https://www.availablecar.com/used-cars/mazda-mazda2-59363
88,Toyota,Aygo 1.0 VVT-i X-Pression,YX15VNM,Leeds,Manual,4,Petrol,68,7E,99,15084,2015,7999,3341.0,11340.0,167.91,9.9,False,https://www.availablecar.com/used-cars/toyota-aygo-59298
89,Vauxhall,Corsa 1.2 70 Excite,VUI4325,Cannock,Manual,5,Petrol,53,3E,124,1440843,2015,7999,4211.0,12210.0,167.91,9.9,True,https://www.availablecar.com/used-cars/vauxhall-corsa-57358
90,Vauxhall,Corsa 1.4 90 Energy,BD16VUA,Cannock,Manual,5,Petrol,55,6E,118,44749,2016,7999,5491.0,13490.0,167.91,9.9,False,https://www.availablecar.com/used-cars/vauxhall-corsa-48944
91,Vauxhall,Adam 1.2 Jam,OV65ETO,Leeds,Manual,4,Petrol,53,3E,125,26573,2015,7999,3576.0,11575.0,167.91,9.9,False,https://www.availablecar.com/used-cars/vauxhall-adam-35774
92,Toyota,Aygo 1.0 VVT-i X-Play,SK68FNH,Leeds,Manual,4,Petrol,68,7E,93,27400,2018,8099,3096.0,11195.0,1.7,9.9,False,https://www.availablecar.com/used-cars/toyota-aygo-8484
93,Peugeot,108 1.0 Active,GN67NXS,Cannock,Manual,4,Petrol,68,6E,95,19597,2017,8099,2786.0,10885.0,1.7,9.9,False,https://www.availablecar.com/used-cars/peugeot-108-63322
94,Volkswagen,Polo 1.0 75 SE,NK15SVN,Sutton in Ashfield,Manual,5,Petrol,58,10E,108,50252,2015,8099,4956.0,13055.0,1.7,9.9,False,https://www.availablecar.com/used-cars/volkswagen-polo-59041
95,Volkswagen,Up 1.0 75 Club Up 5dr Sensors,AP16LPV,Castle Donnington,Manual,4,Petrol,61,3E,106,35114,2016,8099,4466.0,12565.0,1.7,9.9,False,https://www.availablecar.com/used-cars/volkswagen-up-58579
96,Nissan,Micra 1.2 Acenta Premium,S100JWC,Leeds,Manual,5,Petrol,56,7E,115,96211,2016,8099,3516.0,11615.0,1.7,9.9,False,https://www.availablecar.com/used-cars/nissan-micra-56819
97,Vauxhall,Adam 1.2 Glam,BL65FTX,Castle Donnington,Manual,4,Petrol,53,3E,125,27850,2015,8099,4846.0,12945.0,1.7,9.9,False,https://www.availablecar.com/used-cars/vauxhall-adam-54768
98,Skoda,Fabia 1.0 60 S,SF66VHW,Cannock,Manual,5,Petrol,60,2E,106,36993,2016,8099,2596.0,10695.0,1.7,9.9,False,https://www.availablecar.com/used-cars/skoda-fabia-53762
99,Vauxhall,Adam 1.4 90 Glam 3dr Technical,WN65URF,Sutton in Ashfield,Manual,4,Petrol,52,6E,125,33709,2015,8099,5171.0,13270.0,1.7,9.9,False,https://www.availablecar.com/used-cars/vauxhall-adam-52116
100,Renault,Twingo 1.0 Dynamique S,DU68ODF,Castle Donnington,Manual,4,Petrol,67,3E,95,16700,2018,8099,4386.0,12485.0,1.7,9.9,False,https://www.availablecar.com/used-cars/renault-twingo-51283
101,Peugeot,108 1.0 Active,EX17ALO,Leeds,Manual,4,Petrol,68,6E,95,15485,2017,8099,2551.0,10650.0,1.7,9.9,False,https://www.availablecar.com/used-cars/peugeot-108-45747
102,Smart,Fortwo Coupe 0.9 Turbo Prime Premium Plus,RE15FYS,Sutton in Ashfield,Manual,2,Petrol,67,8E,94,28753,2015,8099,5556.0,13655.0,1.7,9.9,False,https://www.availablecar.com/used-cars/smart-fortwo-45419
103,Peugeot,108 Top! 1.2 Allure 3dr,MP65AMK,Leeds,Manual,4,Petrol,65,11E,99,22194,2016,8099,3941.0,12040.0,1.7,9.9,False,https://www.availablecar.com/used-cars/peugeot-108-45222
104,Vauxhall,Viva 1.0 SE,LK18UCH,Leeds,Manual,5,Petrol,55,4E,117,10229,2018,8099,1756.0,9855.0,1.7,9.9,False,https://www.availablecar.com/used-cars/vauxhall-viva-44611
105,Vauxhall,Corsa 1.4 75 Sting,CK66EXL,Sutton in Ashfield,Manual,5,Petrol,55,2E,118,29341,2016,8099,1591.0,9690.0,1.7,9.9,False,https://www.availablecar.com/used-cars/vauxhall-corsa-41994
106,Seat,Ibiza 1.4 Toca,AF64WTN,Leeds,Manual,5,Petrol,47,11E,139,30915,2014,8099,5136.0,13235.0,1.7,9.9,False,https://www.availablecar.com/used-cars/seat-ibiza-36128
107,Fiat,500 1.2 Lounge,WP65WBZ,Sutton in Ashfield,Manual,4,Petrol,60,8U,110,22030,2015,8099,3947.0,12046.0,1.7,9.9,False,https://www.availablecar.com/used-cars/fiat-500-34435
108,Smart,Forfour 1.0 Prime Premium Nightsky,FG65RYP,Cannock,Manual,4,Petrol,67,2E,97,20411,2015,8099,5576.0,13675.0,1.7,9.9,False,https://www.availablecar.com/used-cars/smart-forfour-2935
109,Smart,Fortwo Coupe 1.0 Passion,FE17WOX,Cannock,Manual,2,Petrol,68,3E,93,17872,2017,8099,2776.0,10875.0,1.7,9.9,False,https://www.availablecar.com/used-cars/smart-fortwo-26486
110,DS,DS3 1.2 PureTech 82 Chic,MA66WRU,Cannock,Manual,5,Petrol,61,12E,107,36927,2016,8199,6141.0,14340.0,17.21,9.9,False,https://www.availablecar.com/used-cars/ds-automobiles-ds-3-61657
111,Citroen,C1 1.0 VTi Feel,VK18SVT,Castle Donnington,Manual,4,Petrol,68,6E,95,16695,2018,8199,2881.0,11080.0,17.21,9.9,False,https://www.availablecar.com/used-cars/citroen-c1-54594
112,Fiat,500 1.2 Lounge,YF17DHD,Leeds,Manual,4,Petrol,60,8U,110,36630,2017,8299,4746.0,13045.0,17.42,9.9,False,https://www.availablecar.com/used-cars/fiat-500-59915
113,Citroen,C1 1.2 PureTech Flair,LD17YGE,Castle Donnington,Manual,4,Petrol,65,11E,99,29791,2017,8299,3561.0,11860.0,17.42,9.9,False,https://www.availablecar.com/used-cars/citroen-c1-58661
114,Fiat,500 1.2 Lounge,BG66SUA,Sutton in Ashfield,Manual,4,Petrol,60,8U,110,28372,2016,8299,4446.0,12745.0,17.42,9.9,False,https://www.availablecar.com/used-cars/fiat-500-57303
115,Fiat,500 1.2 Pop Star,AK67RHV,Sutton in Ashfield,Manual,4,Petrol,65,8U,110,27870,2018,8299,3996.0,12295.0,17.42,9.9,False,https://www.availablecar.com/used-cars/fiat-500-56779
116,Peugeot,108 1.0 Active,WU68OXC,Cannock,Manual,4,Petrol,57,8E,93,28319,2018,8299,2886.0,11185.0,17.42,9.9,False,https://www.availablecar.com/used-cars/peugeot-108-47564
117,Peugeot,108 Top! 1.2 Allure,YY65ANU,Cannock,Manual,4,Petrol,65,11E,99,12332,2015,8299,4141.0,12440.0,17.42,9.9,True,https://www.availablecar.com/used-cars/peugeot-108-46838
118,Vauxhall,Viva 1.0 SE,KY68VLF,Leeds,Manual,5,Petrol,46,5E,117,17145,2018,8299,1451.0,9750.0,17.42,9.9,False,https://www.availablecar.com/used-cars/vauxhall-viva-45008
119,Vauxhall,Mokka 1.4T Exclusiv 5dr,LG63PXK,Sutton in Ashfield,Manual,5,Petrol,44,12E,149,52780,2013,8299,11225.0,19524.0,17.42,9.9,False,https://www.availablecar.com/used-cars/vauxhall-mokka-42961
120,Fiat,500 0.9 TwinAir Lounge 3dr Nav Electric Pan,BV16DGY,Leeds,Manual,4,Petrol,67,14U,99,40655,2016,8299,6846.0,15145.0,17.42,9.9,True,https://www.availablecar.com/used-cars/fiat-500-37507
121,Ford,C-Max 1.6 TDCi Titanium,CN63RUH,Sutton in Ashfield,Manual,5,Diesel,62,16E,117,43395,2013,8299,11991.0,20290.0,17.42,9.9,False,https://www.availablecar.com/used-cars/ford-c-max-35924
122,Citroen,C1 1.2 PureTech Flair,FY66OKL,Leeds,Manual,4,Petrol,65,11E,99,21115,2016,8299,3341.0,11640.0,17.42,9.9,False,https://www.availablecar.com/used-cars/citroen-c1-34565
123,Toyota,Aygo 1.0 VVT-i X-Press,KU67UKB,Leeds,Manual,4,Petrol,68,7E,95,38237,2017,8299,3581.0,11880.0,17.42,9.9,False,https://www.availablecar.com/used-cars/toyota-aygo-30903
124,Seat,Ibiza 1.4 Toca,YH65YBJ,Cannock,Manual,5,Petrol,47,11E,139,32550,2015,8399,4961.0,13360.0,17.63,9.9,False,https://www.availablecar.com/used-cars/seat-ibiza-9728
