ID,Make,Model,Registration,Location,Colour,Transmission,Seats,Fuel Type,Fuel Economy (mpg),Insurance Group,CO2 (g/km),Milage,Year,Price ,Price on New ,Price per month ,Reserved,URL
31,Peugeot ,108 1.0 Active 3dr,YK66 AWE,Cannock,Red,Manuel,4,Petrol,68,4E,495,19467,2017,6999,10250,146.91,FALSE,https://www.availablecar.com/used-cars/peugeot-108-61324
32,Peugeot ,208 1.2 Vti Allure 5dr,LY64 GUJ,Castle Donington,Blue,Manuel,5,Petrol,62,8E,104,27428,2014,6999,14440,146.91,TRUE,https://www.availablecar.com/used-cars/peugeot-208-61298
33,Skoda,Fabia 1.2 70 SE 5dr,YH13 SPU,Leeds,Grey,Manuel,5,Petrol,53,5E,128,4739,2013,6999,11415,146.91,TRUE,https://www.availablecar.com/used-cars/skoda-fabia-61035
34,Fiat ,500 1.2 S 3dr ,SD15 VVY,Leeds,White,Manuel,4,Petrol,60,9U,111,25569,2015,7099,11915,149.01,FALSE,https://www.availablecar.com/used-cars/fiat-500-54939
35,Fiat ,500 0.9 TwinAir Lounge 3dr ,BF65 AXA,Cannock,White,Manuel ,4,Petrol,67,15U,99,29673,2015,7099,14198,149.01,FALSE,https://www.availablecar.com/used-cars/fiat-500-53574
36,Citroen ,C3 Picasso 1.6 Hdi 90 Selection 5dr,CV64 JYD,Cannock,Silver,Manuel ,5,Diesel,68,32A,107,47520,2014,7099,16725,149.01,FALSE,https://www.availablecar.com/used-cars/citroen-c3-picasso-51460
37,Vauxhall,Adam 1.4 90 Jam 3dr Urban Pack 16in Alloys,MA64 XEV,Leeds,White,Manuel,4,Petrol,53,6E,125,39697,2014,7099,11725,149.01,FALSE,https://www.availablecar.com/used-cars/vauxhall-adam-30031
38,Volkswagen,Up 1.0 60 Move Up 5dr Nav,WG65 MXA,Cannock,Blue,Manuel,4,Petrol,68,1E,95,31760,2015,7099,10310,149.01,FALSE,https://www.availablecar.com/used-cars/volkswagen-up-2928
39,Peugeot ,208 1.2 PureTech 82 Active 3dr,FA16 JYP,Castle Donington,White,Manuel,5,Petrol,62,10E,104,26891,2016,7099,null,149.01,TRUE,https://www.availablecar.com/used-cars/peugeot-208-20879
40,Peugeot ,108 1.0 Active 5dr,CN16 NHP,Sutton in Ashfield,White,Manuel ,4,Petrol,68,6E,95,28372,2016,7199,10040,151.11,FALSE,https://www.availablecar.com/used-cars/peugeot-108-59551
41,Smart,Fortwo Coupe 1.0 Passion 2dr,WD65 EZU,Leeds,Red,Manuel ,2,Petrol,68,3E,93,26456,2016,7199,11070,151.11,FALSE,https://www.availablecar.com/used-cars/smart-fortwo-28601
42,Vauxhall,Corsa 1.4 75 Limited Edition 3dr,WF16 YJP,Castle Donington,Black,Manuel ,5,Petrol,54,3E,120,57276,2016,7299,14460,153.21,FALSE,https://www.availablecar.com/used-cars/vauxhall-corsa-62314
43,Vauxhall,Corsa 1.2 85 SE 5dr,BJ14 ZZP,Cannock,Silver,Manuel ,5,Petrol,51,6E,129,20992,2014,7299,14980,153.21,FALSE,https://www.availablecar.com/used-cars/vauxhall-corsa-55045
44,Vauxhall,Corsa 1.4T 100 Sri 3dr,BU15 FXA,Leeds,White,Manuel,5,Petrol,55,10E,119,56139,2015,7399,12540,155.32,FALSE,https://www.availablecar.com/used-cars/vauxhall-corsa-58528
45,Toyota,Aygo 1.0 VVT-I X-Play 5dr X-Nav Leather,NA15 WFN,Leeds,Red,Manuel ,4,Petrol,68,7E,95,19946,2015,7399,9514,155.31,TRUE,https://www.availablecar.com/used-cars/toyota-aygo-51992
